#,Name,Difficult,Priority,Status,Tags,link,source,practicedTimes
72,Edit Distance,Hard,High,,"DP, Matrix, StringMatchToMatrix, dp-TwoSeq, string",https://leetcode.com/problems/edit-distance/,"HuaHua, LC_75, LC_Top_Interview_150, jiuzhang, wp动归套路, 算高DP上, 算高DP下",1
74,Search a 2D Matrix,Medium,Low,,BS_Idx,https://leetcode.com/problems/search-a-2d-matrix/,"LC_Top_Interview_150, jiuzhang, 算初BS",1
30,Substring with Concatenation of All Words,Hard,High,"Dig More, No Idea At First, toSummarize","2pt_SameDir_sameSpeed, Hash, Sliding Window, string",https://leetcode.com/problems/substring-with-concatenation-of-all-words/,"LC_Top_Interview_150, wisdompeak",
76,Minimum Window Substring,Hard,Medium,,"2pt_SameDir_minWin_chkValidAftR, Sliding Window",https://leetcode.com/problems/minimum-window-substring/,"LC_Top_Interview_150, jiuzhang, 算高TwoPointers&PQ",1
86,Partition List,Medium,Low,,LinkedList,https://leetcode.com/problems/partition-list/,"LC_Top_Interview_150, jiuzhang, 算初LinkedList&Array",1
92,Reverse Linked List II,Medium,Low,,"LinkedList, reversePartial",https://leetcode.com/problems/reverse-linked-list-ii/,"LC_Top_Interview_150, jiuzhang, 算初LinkedList&Array",1
97,Interleaving String,Medium,Medium,More Solution,"DP, StringMatchToMatrix, TopSorting, dp-TwoSeq",https://leetcode.com/problems/interleaving-string/,"HuaHua, LC_Top_Interview_150, jiuzhang, wp动归套路, 算高DP下",1
98,Validate Binary Search Tree,Medium,Low,,"Iterate, Tree",https://leetcode.com/problems/validate-binary-search-tree/,"HuaHua, LC_Top_Interview_150, jiuzhang, 算初Tree Divide&Conquer",1
100,Same Tree,Easy,Pass,,Tree,https://leetcode.com/problems/same-tree,"HuaHua, LC_Top_Interview_150, jiuzhang, 算初Tree Divide&Conquer",1
102,Binary Tree Level Order Traversal,Medium,Low,,"BFS, Tree, tbfs_preChkNull_wSz",https://leetcode.com/problems/binary-tree-level-order-traversal/,"HuaHua, LC_Top_Interview_150, jiuzhang, ticktokFreq, 算初BFS, 算初Tree Divide&Conquer",1
103,Binary Tree Zigzag Level Order Traversal,Medium,Pass,,"BFS, Tree",https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal/,"LC_Top_Interview_150, jiuzhang, 算初BFS",1
104,Maximum Depth of Binary Tree,Easy,Pass,,"DFS, Divide and Conquer, Tree, toNull",https://leetcode.com/problems/maximum-depth-of-binary-tree/,"HuaHua, LC_75, LC_Top_Interview_150, jiuzhang, 算初Tree Divide&Conquer",1
105,Construct Binary Tree from Preorder and Inorder Traversal,Medium,Low,,Tree,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/,"LC_Top_Interview_150, jiuzhang, 算初Tree Divide&Conquer",1
114,Flatten Binary Tree to Linked List,Medium,High,,"Iterate, Tree, changeAffectIteration",https://leetcode.com/problems/flatten-binary-tree-to-linked-list/,"LC_Top_Interview_150, jiuzhang, 算初Tree Divide&Conquer",1
120,Triangle,Medium,High,,"BFS, Bottom_Up, DP, Triangle",https://leetcode.com/problems/triangle,"HuaHua, LC_Top_Interview_150, jiuzhang, 算初DP",1
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,Easy,Pass,More Solution,"Array, Greedy, dp-TimeSeqFromLastOne-Power, stateMachine",https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,"HuaHua, LC_Top_Interview_150",
122,Best Time to Buy and Sell Stock II,Medium,Pass,,"Array, DP, Greedy",https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii/,"HuaHua, LC_Top_Interview_150",
123,Best Time to Buy and Sell Stock III,Hard,Medium,,"DP, Game, dp-TimeSeqFromLastOne-Power, stateMachine",https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii/,"LC_Top_Interview_150, wp动归套路",
124,Binary Tree Maximum Path Sum,Hard,Medium,,"Divide and Conquer, Tree",https://leetcode.com/problems/binary-tree-maximum-path-sum/,"HuaHua, LC_Top_Interview_150, jiuzhang, ticktokFreq, 算初Tree Divide&Conquer",1
